Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
14964907,599,7126,03/01/2022 00:01,Yonge St / Yorkville Ave,7292,03/01/2022 00:11,Granby St / Church St - SMART,5770,Annual Member
14964909,773,7257,03/01/2022 00:05,Dundas St W / St. Patrick St,7127,03/01/2022 00:18,Bay St / Scollard St,5677,Annual Member
14964910,782,7361,03/01/2022 00:06,Hocken Ave./Vaughan Rd.,7369,03/01/2022 00:19,Dupont St / Emerson Ave SMART,2929,Annual Member
14964911,554,7634,03/01/2022 00:07,University Ave / Gerrard St W (WEST) - SMART,7269,03/01/2022 00:16,Toronto Eaton Centre (Yonge St),4037,Casual Member
14964912,472,7032,03/01/2022 00:08,Augusta Ave / Dundas St W,7207,03/01/2022 00:16,Dundas St W / Crawford St,4535,Casual Member
14964913,333,7059,03/01/2022 00:11,Front St W / Blue Jays Way,7411,03/01/2022 00:17,Little Norway Park,4056,Casual Member
14964914,1163,7251,03/01/2022 00:13,The Royal Ontario Museum (Bloor St Entrance),7298,03/01/2022 00:32,Bathurst St / Adelaide St W,2692,Annual Member
14964915,669,7157,03/01/2022 00:13,Dufferin St / Bloor St,7347,03/01/2022 00:24,Regal Rd / Dufferin St,3918,Annual Member
14964917,1649,7077,03/01/2022 00:15,College Park South,7006,03/01/2022 00:43,Bay St / College St (East Side),3390,Casual Member
14964918,322,7385,03/01/2022 00:16,20 Charles St E,7389,03/01/2022 00:21,College Park- Gerrard Entrance,5001,Annual Member
14964919,1040,7129,03/01/2022 00:16,Davenport Rd / Avenue Rd,7060,03/01/2022 00:33,Princess St / Adelaide St E,905,Casual Member
14964920,490,7336,03/01/2022 00:19,Queen St E / Alton Av,7570,03/01/2022 00:27,Carlaw Ave / Dundas St E,3555,Annual Member
14964921,353,7685,03/01/2022 00:20,NULL,7072,03/01/2022 00:26,Fleet St / Bathurst St,5438,Annual Member
14964922,654,7044,03/01/2022 00:21,Church St / Alexander St,7493,03/01/2022 00:32,Sackville St / Eastern Ave - SMART,839,Annual Member
14964923,623,7239,03/01/2022 00:23,Bloor St W / Manning Ave - SMART,7473,03/01/2022 00:33,Adelaide St W / Strachan Ave,3912,Annual Member
14964925,569,7066,03/01/2022 00:24,Willcocks St / St. George St,7012,03/01/2022 00:33,Elizabeth St / Edward St (Bus Terminal),307,Casual Member
14964926,579,7000,03/01/2022 00:24,Fort York  Blvd / Capreol Ct,7382,03/01/2022 00:33,Simcoe St / Adelaide St W,4608,Annual Member
14964927,662,7475,03/01/2022 00:27,Jarvis St / Richmond St E,7236,03/01/2022 00:38,Thompson St / Broadview Ave - SMART,5767,Annual Member
14964928,426,7045,03/01/2022 00:29,Bond St / Queen St E,7292,03/01/2022 00:36,Granby St / Church St - SMART,4862,Annual Member
14964929,732,7235,03/01/2022 00:30,Bay St / College St (West Side) - SMART,7372,03/01/2022 00:42,Adelaide St W / Portland St,5978,Annual Member
14964938,216,7373,03/01/2022 00:35,George St / King St E,7551,03/01/2022 00:38,The Esplanade / Hahn Pl,5692,Annual Member
14964940,221,7113,03/01/2022 00:39,Parliament St / Aberdeen Ave,7055,03/01/2022 00:43,Jarvis St / Carlton St,5434,Annual Member
14964946,737,7006,03/01/2022 00:43,Bay St / College St (East Side),7418,03/01/2022 00:55,College Park - Yonge St Entrance,3390,Casual Member
