Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
14960551,391,7130,02/27/2022 16:35,Davenport Rd / Bedford Rd,7029,02/27/2022 16:41,Bay St / Bloor St W (East Side),3867,Annual Member
14960553,1071,7170,02/27/2022 16:35,Spadina Ave / Willcocks St,7285,02/27/2022 16:53,Spadina Ave / Harbord St - SMART,2800,Casual Member
14960554,1008,7487,02/27/2022 16:35,Eastwood Rd / Woodbine Ave - SMART,7090,02/27/2022 16:52,Danforth Ave / Lamb Ave,4661,Annual Member
14960555,1024,7005,02/27/2022 16:36,King St W / York St,7287,02/27/2022 16:53,Queen St E / Pape Ave - SMART,3830,Annual Member
14960556,717,7102,02/27/2022 16:37,Nelson St / Duncan St,7202,02/27/2022 16:48,Queen St W / York St (City Hall),974,Casual Member
14960557,666,7683,02/27/2022 16:37,NULL,7022,02/27/2022 16:48,Simcoe St / Queen St W,854,Annual Member
14960558,1064,7248,02/27/2022 16:37,Baldwin Ave / Spadina Ave - SMART,7099,02/27/2022 16:55,Cherry St / Mill St,979,Annual Member
14960559,549,7271,02/27/2022 16:38,Yonge St / Alexander St - SMART,7026,02/27/2022 16:47,Bay St / St. Joseph St,5399,Casual Member
14960560,1861,7227,02/27/2022 16:38,Martin Goodman Trail (Marilyn Bell Park),7514,02/27/2022 17:09,Humber Bay Shores Park / Marine Parade Dr,6079,Annual Member
14960561,886,7240,02/27/2022 16:38,Bloor St W / Shaw Ave - SMART,7131,02/27/2022 16:53,Taddle Creek Park,372,Annual Member
14960562,1416,7108,02/27/2022 16:38,Front St E / Cherry St,7533,02/27/2022 17:02,Housey St / Dan Leckie Way,227,Annual Member
14960563,747,7053,02/27/2022 16:39,Metro Hall Plaza,7412,02/27/2022 16:52,King St W / Crawford St,1276,Casual Member
14960564,1372,7108,02/27/2022 16:39,Front St E / Cherry St,7533,02/27/2022 17:02,Housey St / Dan Leckie Way,5740,Casual Member
14960565,408,7384,02/27/2022 16:40,Cumberland Ave / Bay St SMART,7280,02/27/2022 16:47,Charles St E / Jarvis St - SMART,3698,Casual Member
14960566,681,7158,02/27/2022 16:40,King St W / Stafford St,7322,02/27/2022 16:52,King St W / Brant St,2267,Casual Member
14960567,1009,7386,02/27/2022 16:41,D'Arcy St. /McCaul St. SMART,7196,02/27/2022 16:58,Roxton Rd / Harbord St,6094,Annual Member
