Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
14805109,4335,7334,01/01/2022 00:02,Simcoe St / Wellington St North,7269,01/01/2022 01:15,Toronto Eaton Centre (Yonge St),5139,Casual Member
14805110,126,7443,01/01/2022 00:02,Dundas St E / George St,7270,01/01/2022 00:05,Church St / Dundas St E - SMART,3992,Annual Member
14805112,942,7399,01/01/2022 00:04,Lower Jarvis / Queens Quay E,7686,01/01/2022 00:19,NULL,361,Annual Member
14805113,4256,7334,01/01/2022 00:04,Simcoe St / Wellington St North,7269,01/01/2022 01:15,Toronto Eaton Centre (Yonge St),4350,Casual Member
14805114,4353,7334,01/01/2022 00:05,Simcoe St / Wellington St North,7038,01/01/2022 01:17,Dundas St W / Yonge St,5074,Casual Member
14805115,328,7524,01/01/2022 00:05,Lisgar Park,7136,01/01/2022 00:11,Queen St W / Close Ave,5564,Casual Member
14805116,753,7365,01/01/2022 00:06,Kew Beach Ave / Kenilworth Ave,7287,01/01/2022 00:18,Queen St E / Pape Ave - SMART,2394,Casual Member
14805117,74,7569,01/01/2022 00:07,Toronto Inukshuk Park,7569,01/01/2022 00:08,Toronto Inukshuk Park,3701,Annual Member
14805118,4449,7462,01/01/2022 00:07,Richmond St E / Yonge St,7462,01/01/2022 01:21,Richmond St E / Yonge St,1855,Casual Member
14805119,1641,7175,01/01/2022 00:08,HTO Park (Queens Quay W),7422,01/01/2022 00:35,Tyndall Ave / King St W - SMART,5420,Casual Member
14805120,173,7083,01/01/2022 00:08,Danforth Ave / Barrington Ave,7482,01/01/2022 00:11,Danforth Ave / Sibley Ave,5722,Annual Member
14805121,279,7113,01/01/2022 00:09,Parliament St / Aberdeen Ave,7100,01/01/2022 00:13,Dundas St E / Regent Park Blvd,650,Casual Member
14805122,1605,7175,01/01/2022 00:09,HTO Park (Queens Quay W),7422,01/01/2022 00:35,Tyndall Ave / King St W - SMART,6124,Casual Member
14805123,1246,7569,01/01/2022 00:09,Toronto Inukshuk Park,7168,01/01/2022 00:30,Queens Quay / Yonge St,4195,Annual Member
14805124,214,7126,01/01/2022 00:09,Yonge St / Yorkville Ave,7548,01/01/2022 00:13,St Joseph St / Bay St - SMART,5638,Annual Member
14805157,339,7073,01/01/2022 00:09,Spadina Ave / Fort York Blvd,7474,01/01/2022 00:15,Clarence Square,3512,Casual Member
14805125,2081,7172,01/01/2022 00:10,Strachan Ave / Princes' Blvd,7018,01/01/2022 00:44,Bremner Blvd / Rees St,5307,Casual Member
14805126,1106,7519,01/01/2022 00:10,406 Oakwood Ave,7154,01/01/2022 00:29,Bathurst Subway Station,6632,Casual Member
14805127,1446,7289,01/01/2022 00:12,Humber Bay Shores Park East,7171,01/01/2022 00:36,Ontario Place Blvd / Lake Shore Blvd W (East),4812,Casual Member
14805128,477,7329,01/01/2022 00:13,Crawford St / Queen St W,7367,01/01/2022 00:21,Alma Ave / Gladstone Ave SMART,2900,Annual Member
14805130,308,7171,01/01/2022 00:14,Ontario Place Blvd / Lake Shore Blvd W (East),7216,01/01/2022 00:19,Wellington St W / Stafford St,481,Annual Member
14805131,1347,7171,01/01/2022 00:15,Ontario Place Blvd / Lake Shore Blvd W (East),7524,01/01/2022 00:37,Lisgar Park,1321,Annual Member
14805132,424,7545,01/01/2022 00:15,Baldwin St / Henry St,7256,01/01/2022 00:22,Vanauley St / Queen St W - SMART,4417,Annual Member
14805134,330,7104,01/01/2022 00:16,King St E / River St,7578,01/01/2022 00:22,Oak St / Parliament St,3797,Annual Member
14805135,474,7163,01/01/2022 00:16,Yonge St / Wood St,7115,01/01/2022 00:24,Howard St / Sherbourne St,5063,Annual Member
14805136,499,7289,01/01/2022 00:16,Humber Bay Shores Park East,7514,01/01/2022 00:25,Humber Bay Shores Park / Marine Parade Dr,4020,Casual Member
14805137,722,7171,01/01/2022 00:16,Ontario Place Blvd / Lake Shore Blvd W (East),7255,01/01/2022 00:28,Stewart St / Bathurst St  - SMART,734,Annual Member
14805138,457,7289,01/01/2022 00:17,Humber Bay Shores Park East,7514,01/01/2022 00:24,Humber Bay Shores Park / Marine Parade Dr,2712,Casual Member
14805139,2124,7171,01/01/2022 00:17,Ontario Place Blvd / Lake Shore Blvd W (East),7202,01/01/2022 00:52,Queen St W / York St (City Hall),5612,Casual Member
14805140,630,7400,01/01/2022 00:17,Polson Pier,7107,01/01/2022 00:27,Cherry St / Distillery Ln,5984,Casual Member
14805141,1231,7171,01/01/2022 00:17,Ontario Place Blvd / Lake Shore Blvd W (East),7524,01/01/2022 00:38,Lisgar Park,5839,Annual Member
14805142,423,7657,01/01/2022 00:17,1 Market St - SMART,7043,01/01/2022 00:24,Queens Quay W / Lower Simcoe St,6618,Annual Member
14805143,422,7283,01/01/2022 00:17,Front St W / Bay St (South Side),7406,01/01/2022 00:24,Victoria St / Queen St E,6535,Annual Member
14805144,1383,7261,01/01/2022 00:18,Queens Quay E / Lower Sherbourne St,7054,01/01/2022 00:41,Navy Wharf Ct. / Bremner Blvd.,145,Casual Member
14805145,535,7078,01/01/2022 00:18,College St / Major St,7418,01/01/2022 00:27,College Park - Yonge St Entrance,182,Casual Member
14805146,1369,7261,01/01/2022 00:18,Queens Quay E / Lower Sherbourne St,7054,01/01/2022 00:41,Navy Wharf Ct. / Bremner Blvd.,2276,Casual Member
14805147,175,7250,01/01/2022 00:18,St. George St / Russell St - SMART,7078,01/01/2022 00:21,College St / Major St,6252,Annual Member
14805148,1225,7259,01/01/2022 00:19,Lower Spadina Ave / Lake Shore Blvd,7003,01/01/2022 00:39,Madison Ave / Bloor St W,1678,Annual Member
14805149,1210,7259,01/01/2022 00:19,Lower Spadina Ave / Lake Shore Blvd,7003,01/01/2022 00:39,Madison Ave / Bloor St W,3660,Annual Member
14805150,893,7168,01/01/2022 00:19,Queens Quay / Yonge St,7028,01/01/2022 00:34,Gould St / Mutual St,4250,Annual Member
14805151,745,7323,01/01/2022 00:19,457 King St. W. at Spadina,7048,01/01/2022 00:31,Front St W / Yonge St (Hockey Hall of Fame),2982,Annual Member
14805152,1139,7299,01/01/2022 00:19,Mill St / Parliament St,7333,01/01/2022 00:38,King St E / Victoria St,6504,Casual Member
14805153,1067,7299,01/01/2022 00:20,Mill St / Parliament St,7333,01/01/2022 00:38,King St E / Victoria St,4621,Casual Member
14805154,53793,7121,01/01/2022 00:21,Jarvis St / Dundas St E,7018,01/01/2022 15:17,Bremner Blvd / Rees St,5002,Casual Member
14805155,294,7411,01/01/2022 00:21,Little Norway Park,7175,01/01/2022 00:26,HTO Park (Queens Quay W),2263,Annual Member
14805156,2696,7121,01/01/2022 00:21,Jarvis St / Dundas St E,7018,01/01/2022 01:06,Bremner Blvd / Rees St,5644,Casual Member
14805160,1620,7474,01/01/2022 00:22,Clarence Square,7474,01/01/2022 00:49,Clarence Square,5296,Casual Member
14805161,704,7235,01/01/2022 00:22,Bay St / College St (West Side) - SMART,7372,01/01/2022 00:34,Adelaide St W / Portland St,4818,Annual Member
14805162,738,7089,01/01/2022 00:22,Church St  / Wood St,7191,01/01/2022 00:35,Central Tech  (Harbord St),3767,Casual Member
14805163,997,7286,01/01/2022 00:22,Gerrard St E / Broadview - SMART,7089,01/01/2022 00:39,Church St  / Wood St,5987,Annual Member
14805164,1245,7684,01/01/2022 00:23,NULL,7274,01/01/2022 00:44,Queen's Park Cres E / Grosvenor St - SMART,6839,Annual Member
14805165,1751,7114,01/01/2022 00:24,Carlton St / Parliament St,7644,01/01/2022 00:53,East Lynn Ave / Danforth Ave,4520,Casual Member
14805166,1127,7090,01/01/2022 00:24,Danforth Ave / Lamb Ave,7332,01/01/2022 00:43,200 Bloor St. E.,421,Annual Member
14805167,368,7031,01/01/2022 00:24,Jarvis St / Isabella St,7660,01/01/2022 00:30,285 Victoria St,5657,Annual Member
14805168,1938,7291,01/01/2022 00:24,190 Queens Quay E,7090,01/01/2022 00:57,Danforth Ave / Lamb Ave,582,Casual Member
14805169,1508,7148,01/01/2022 00:24,King St W / Joe Shuster Way,7275,01/01/2022 00:50,Queen St W / James St,3094,Casual Member
14805170,934,7383,01/01/2022 00:24,12 Harbour St,7006,01/01/2022 00:40,Bay St / College St (East Side),988,Casual Member
14805171,1176,7076,01/01/2022 00:25,York St / Queens Quay W,7022,01/01/2022 00:44,Simcoe St / Queen St W,2110,Casual Member
14805172,1145,7076,01/01/2022 00:25,York St / Queens Quay W,7022,01/01/2022 00:44,Simcoe St / Queen St W,5118,Casual Member
14805173,1987,7389,01/01/2022 00:25,College Park- Gerrard Entrance,7641,01/01/2022 00:58,Annette St / Dundas W,3773,Casual Member
14805174,1142,7076,01/01/2022 00:25,York St / Queens Quay W,7022,01/01/2022 00:44,Simcoe St / Queen St W,5879,Casual Member
14805175,1887,7291,01/01/2022 00:25,190 Queens Quay E,7090,01/01/2022 00:57,Danforth Ave / Lamb Ave,2273,Casual Member
14805176,1050,7076,01/01/2022 00:26,York St / Queens Quay W,7022,01/01/2022 00:43,Simcoe St / Queen St W,4827,Casual Member
14805177,2000,7599,01/01/2022 00:26,Richmond St W / York St,7582,01/01/2022 00:59,Alameda Ave / Vaughan Rd - SMART,6881,Casual Member
14805178,1087,7175,01/01/2022 00:26,HTO Park (Queens Quay W),7161,01/01/2022 00:44,Beverley St / College St,2888,Annual Member
14805179,419,7016,01/01/2022 00:27,Bay St / Queens Quay W (Ferry Terminal),7261,01/01/2022 00:34,Queens Quay E / Lower Sherbourne St,5803,Annual Member
14805180,221,7100,01/01/2022 00:28,Dundas St E / Regent Park Blvd,7110,01/01/2022 00:31,Queen St E / Berkeley St,650,Casual Member
14805181,939,7076,01/01/2022 00:28,York St / Queens Quay W,7022,01/01/2022 00:44,Simcoe St / Queen St W,6508,Casual Member
14805182,806,7072,01/01/2022 00:29,Fleet St / Bathurst St,7168,01/01/2022 00:42,Queens Quay / Yonge St,1109,Casual Member
14805184,381,7126,01/01/2022 00:29,Yonge St / Yorkville Ave,7163,01/01/2022 00:35,Yonge St / Wood St,5110,Annual Member
14805186,1776,7492,01/01/2022 00:29,324 Cherry St,7001,01/01/2022 00:59,Wellesley Station Green P,6200,Annual Member
14805187,458,7398,01/01/2022 00:30,York St / Lakeshore St W - South,7282,01/01/2022 00:38,Adelaide St W / Bay St - SMART,3822,Annual Member
14805188,1376,7233,01/01/2022 00:32,King / Cowan Ave - SMART,7467,01/01/2022 00:55,Lower Simcoe St / Bremner Blvd,1265,Annual Member
14805189,1624,7492,01/01/2022 00:32,324 Cherry St,7001,01/01/2022 00:59,Wellesley Station Green P,318,Casual Member
14805190,762,7253,01/01/2022 00:32,John St  / Mercer St - SMART,7030,01/01/2022 00:45,Bay St / Wellesley St W,5676,Annual Member
14805191,655,7253,01/01/2022 00:32,John St  / Mercer St - SMART,7235,01/01/2022 00:43,Bay St / College St (West Side) - SMART,5992,Annual Member
14805192,745,7253,01/01/2022 00:32,John St  / Mercer St - SMART,7030,01/01/2022 00:45,Bay St / Wellesley St W,5481,Annual Member
14805193,946,7260,01/01/2022 00:34,Spadina Ave / Adelaide St W,7252,01/01/2022 00:50,Robert St / Bloor St W - SMART,2513,Casual Member
14805194,1985,7172,01/01/2022 00:34,Strachan Ave / Princes' Blvd,7046,01/01/2022 01:07,Niagara St / Richmond St W,1785,Casual Member
14805195,915,7169,01/01/2022 00:34,Front St W / Bay St (North Side),7121,01/01/2022 00:49,Jarvis St / Dundas St E,532,Casual Member
14805196,701,7261,01/01/2022 00:34,Queens Quay E / Lower Sherbourne St,7489,01/01/2022 00:46,Sumach St  / Queen St E,4518,Annual Member
14805197,1191,7037,01/01/2022 00:34,Bathurst St / Dundas St W,7121,01/01/2022 00:54,Jarvis St / Dundas St E,5202,Annual Member
14805198,879,7169,01/01/2022 00:34,Front St W / Bay St (North Side),7121,01/01/2022 00:49,Jarvis St / Dundas St E,4768,Casual Member
14805199,707,7261,01/01/2022 00:34,Queens Quay E / Lower Sherbourne St,7489,01/01/2022 00:46,Sumach St  / Queen St E,5650,Annual Member
14805200,1913,7172,01/01/2022 00:35,Strachan Ave / Princes' Blvd,7046,01/01/2022 01:07,Niagara St / Richmond St W,771,Casual Member
14805201,977,7043,01/01/2022 00:35,Queens Quay W / Lower Simcoe St,7491,01/01/2022 00:51,D'Arcy St / Spadina Ave - SMART,6618,Casual Member
14805202,504,7601,01/01/2022 00:35,Brick Works,7601,01/01/2022 00:43,Brick Works,5417,Annual Member
14805203,749,7016,01/01/2022 00:35,Bay St / Queens Quay W (Ferry Terminal),7021,01/01/2022 00:48,Bay St / Albert St,441,Annual Member
14805205,314,7018,01/01/2022 00:36,Bremner Blvd / Rees St,7018,01/01/2022 00:41,Bremner Blvd / Rees St,754,Casual Member
14805206,416,7384,01/01/2022 00:36,Cumberland Ave / Bay St SMART,7024,01/01/2022 00:43,Dundonald St / Church St,5777,Annual Member
14805207,1160,7171,01/01/2022 00:36,Ontario Place Blvd / Lake Shore Blvd W (East),7240,01/01/2022 00:56,Bloor St W / Shaw Ave - SMART,4812,Casual Member
14805208,159,7031,01/01/2022 00:37,Jarvis St / Isabella St,7024,01/01/2022 00:39,Dundonald St / Church St,5358,Casual Member
14805209,1053,7217,01/01/2022 00:37,Soho St / Queen St W,7193,01/01/2022 00:54,Queen St W / Gladstone Ave,4337,Annual Member
14805211,953,7360,01/01/2022 00:37,Concord Av / Dewson St,7039,01/01/2022 00:53,Simcoe St / Michael Sweet Ave,3733,Casual Member
14805213,404,7282,01/01/2022 00:38,Adelaide St W / Bay St - SMART,7267,01/01/2022 00:45,Dundas St E / Pembroke St - SMART,6651,Annual Member
14805214,588,7013,01/01/2022 00:38,Scott St / The Esplanade,7017,01/01/2022 00:48,Widmer St / Adelaide St W,6438,Annual Member
14805215,455,7118,01/01/2022 00:39,King St W / Bay St (East Side),7027,01/01/2022 00:46,Beverley  St / Dundas St W,6196,Annual Member
14805218,961,7038,01/01/2022 00:39,Dundas St W / Yonge St,7071,01/01/2022 00:55,161 Bleecker St (South of Wellesley),6614,Annual Member
14805220,1245,7033,01/01/2022 00:40,Union Station,7001,01/01/2022 01:01,Wellesley Station Green P,5115,Annual Member
14805222,967,7076,01/01/2022 00:41,York St / Queens Quay W,7271,01/01/2022 00:57,Yonge St / Alexander St - SMART,5261,Annual Member
14805223,224,7110,01/01/2022 00:41,Queen St E / Berkeley St,7100,01/01/2022 00:45,Dundas St E / Regent Park Blvd,650,Casual Member
14805225,2681,7400,01/01/2022 00:41,Polson Pier,7388,01/01/2022 01:26,Broadview Ave / Danforth Ave,5164,Casual Member
14805226,1315,7459,01/01/2022 00:41,St Clair Ave W / Winona Ave,7142,01/01/2022 01:03,Bridgeman Ave / Bathurst St,2866,Annual Member
14805227,1297,7459,01/01/2022 00:42,St Clair Ave W / Winona Ave,7142,01/01/2022 01:03,Bridgeman Ave / Bathurst St,1422,Annual Member
14805228,946,7333,01/01/2022 00:42,King St E / Victoria St,7660,01/01/2022 00:58,285 Victoria St,4621,Casual Member
14805229,873,7076,01/01/2022 00:42,York St / Queens Quay W,7271,01/01/2022 00:56,Yonge St / Alexander St - SMART,5751,Annual Member
14805230,790,7011,01/01/2022 00:42,Wellington St W / Portland St,7048,01/01/2022 00:55,Front St W / Yonge St (Hockey Hall of Fame),847,Annual Member
14805231,931,7333,01/01/2022 00:42,King St E / Victoria St,7660,01/01/2022 00:58,285 Victoria St,6504,Casual Member
14805232,1480,7670,01/01/2022 00:43,Yonge St / Woburn Ave - SMART,7677,01/01/2022 01:07,1303 Yonge St - SMART,6335,Casual Member
14805233,399,7192,01/01/2022 00:43,Harbord St / Clinton St,7420,01/01/2022 00:49,Barton St / Howland St - SMART,3060,Annual Member
14805234,577,7332,01/01/2022 00:43,200 Bloor St. E.,7061,01/01/2022 00:53,Dalton Rd / Bloor St W,421,Annual Member
14805235,465,7250,01/01/2022 00:43,St. George St / Russell St - SMART,7281,01/01/2022 00:51,Charles St W / Balmuto St - SMART,378,Annual Member
14805236,1132,7057,01/01/2022 00:43,Simcoe St / Wellington St South,7281,01/01/2022 01:02,Charles St W / Balmuto St - SMART,4535,Casual Member
14805237,1136,7057,01/01/2022 00:43,Simcoe St / Wellington St South,7281,01/01/2022 01:02,Charles St W / Balmuto St - SMART,5421,Casual Member
14805238,518,7161,01/01/2022 00:45,Beverley St / College St,7003,01/01/2022 00:53,Madison Ave / Bloor St W,4508,Annual Member
14805239,1193,7569,01/01/2022 00:45,Toronto Inukshuk Park,7647,01/01/2022 01:05,Elm St/ University Ave (East Side),2609,Casual Member
14805240,328,7274,01/01/2022 00:45,Queen's Park Cres E / Grosvenor St - SMART,7251,01/01/2022 00:51,The Royal Ontario Museum (Bloor St Entrance),6839,Annual Member
14805241,388,7267,01/01/2022 00:46,Dundas St E / Pembroke St - SMART,7410,01/01/2022 00:52,Howard St / Rose Ave,6651,Annual Member
14805242,830,7059,01/01/2022 00:46,Front St W / Blue Jays Way,7078,01/01/2022 01:00,College St / Major St,4130,Casual Member
14805243,735,7418,01/01/2022 00:46,College Park - Yonge St Entrance,7065,01/01/2022 00:58,Dundas St E / Parliament St,4581,Casual Member
14805244,723,7418,01/01/2022 00:46,College Park - Yonge St Entrance,7065,01/01/2022 00:58,Dundas St E / Parliament St,799,Casual Member
14805245,1284,7675,01/01/2022 00:46,1525 Dundas St,7132,01/01/2022 01:08,Kendal Ave / Spadina Rd,3924,Annual Member
14805246,1147,7097,01/01/2022 00:47,Riverdale Park North (Broadview Ave),7551,01/01/2022 01:06,The Esplanade / Hahn Pl,887,Annual Member
14805247,593,7155,01/01/2022 00:47,Bathurst St / Lennox St,7536,01/01/2022 00:56,Palmerston Ave / Dundas St W,2524,Annual Member
14805248,1144,7097,01/01/2022 00:47,Riverdale Park North (Broadview Ave),7551,01/01/2022 01:06,The Esplanade / Hahn Pl,3653,Annual Member
14805249,711,7524,01/01/2022 00:47,Lisgar Park,7072,01/01/2022 00:59,Fleet St / Bathurst St,5750,Annual Member
14805250,413,7035,01/01/2022 00:47,Queen St W / Ossington Ave,7216,01/01/2022 00:54,Wellington St W / Stafford St,993,Annual Member
14805251,509,7250,01/01/2022 00:50,St. George St / Russell St - SMART,7192,01/01/2022 00:59,Harbord St / Clinton St,6293,Annual Member
14805252,360,7154,01/01/2022 00:51,Bathurst Subway Station,7199,01/01/2022 00:57,College St / Markham St,2379,Annual Member
14805253,1023,7383,01/01/2022 00:51,12 Harbour St,7391,01/01/2022 01:08,Yonge St / Dundas Sq,1655,Annual Member
14805254,1553,7576,01/01/2022 00:51,Front St E / Bayview Avenue,7408,01/01/2022 01:17,University Ave / Armoury St,5268,Annual Member
14805255,578,7075,01/01/2022 00:51,Queens Quay W / Dan Leckie Way,7440,01/01/2022 01:01,Martin Goodman Trail / Ontario Dr,3503,Casual Member
14805256,253,7275,01/01/2022 00:51,Queen St W / James St,7458,01/01/2022 00:56,Church St / Lombard St,6793,Casual Member
14805257,466,7491,01/01/2022 00:52,D'Arcy St / Spadina Ave - SMART,7155,01/01/2022 01:00,Bathurst St / Lennox St,6618,Casual Member
14805258,897,7399,01/01/2022 00:52,Lower Jarvis / Queens Quay E,7366,01/01/2022 01:07,Fort York Blvd / Bathurst St SMART,6010,Casual Member
14805259,192,7062,01/01/2022 00:52,University Ave / College St (West),7389,01/01/2022 00:56,College Park- Gerrard Entrance,294,Annual Member
